11/13/2025 3:59:16 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
175.303   53.953
175.312   54.075
175.322   54.199
175.332   54.020
175.341   54.654
175.351   54.683
175.361   54.882
175.371   55.389
175.380   55.227
175.390   55.355
175.400   55.715
175.409   56.077
175.419   56.541
175.429   56.197
175.439   56.819
175.448   56.769
175.458   56.987
175.468   57.300
175.478   57.446
175.487   57.553
175.497   57.708
175.507   57.850
175.516   58.026
175.526   58.425
175.536   58.651
175.546   58.747
175.555   58.791
175.565   59.090
175.575   59.226
175.584   59.357
175.594   59.732
175.604   59.882
175.614   60.178
175.623   60.242
175.633   60.632
175.643   60.714
175.653   60.891
175.662   61.096
175.672   61.081
175.682   61.435
175.691   61.485
175.701   61.807
175.711   61.722
175.721   62.386
175.730   62.015
175.740   62.374
175.750   62.740
175.760   62.367
175.769   62.918
175.779   63.289
175.789   63.195
175.798   63.256
175.808   63.655
175.818   63.748
175.828   63.919
175.837   64.161
175.847   64.198
175.857   64.618
175.866   64.134
175.876   64.592
175.886   64.715
175.896   64.811
175.905   64.977
175.915   65.540
175.925   65.623
175.935   65.676
175.944   65.722
175.954   65.957
175.964   65.907
175.973   65.951
175.983   66.218
175.993   66.420
176.003   66.601
176.012   66.628
176.022   66.840
176.032   66.974
176.041   67.165
176.051   67.322
176.061   67.236
176.071   67.458
176.080   67.806
176.090   67.890
176.100   67.853
176.110   68.171
176.119   68.134
176.129   68.516
176.139   68.224
176.148   68.567
176.158   68.864
176.168   68.995
176.178   69.172
176.187   69.308
176.197   69.253
176.207   69.454
176.217   69.737
176.226   69.870
176.236   70.271
176.246   70.145
176.255   70.350
176.265   70.517
176.275   70.726
176.285   70.754
176.294   70.874
176.304   71.128
176.314   71.118
176.323   71.282
176.333   71.618
176.343   71.765
176.353   71.829
176.362   72.147
176.372   72.105
176.382   72.353
176.392   72.587
176.401   72.659
176.411   72.610
176.421   72.989
176.430   73.100
176.440   73.287
176.450   73.495
176.460   73.505
176.469   73.897
176.479   73.866
176.489   74.319
176.498   74.452
176.508   74.563
176.518   74.777
176.528   74.837
176.537   74.963
176.547   75.228
176.557   75.497
176.567   75.730
176.576   75.992
176.586   76.042
176.596   76.135
176.605   76.486
176.615   76.673
176.625   76.741
176.635   76.969
176.644   77.278
176.654   77.421
176.664   77.832
176.674   77.895
176.683   77.987
176.693   78.340
176.703   78.601
176.712   78.698
176.722   78.999
176.732   79.301
176.742   79.445
176.751   79.564
176.761   79.863
176.771   79.972
176.780   80.392
176.790   80.663
176.800   80.898
176.810   81.098
176.819   81.336
176.829   81.485
176.839   81.759
176.849   82.000
176.858   82.408
176.868   82.653
176.878   82.666
176.887   83.022
176.897   83.416
176.907   83.636
176.917   83.786
176.926   84.066
176.936   84.387
176.946   84.610
176.955   84.965
176.965   85.260
176.975   85.562
176.985   85.727
176.994   86.124
177.004   86.393
177.014   86.683
177.024   86.958
177.033   87.275
177.043   87.580
177.053   87.800
177.062   88.198
177.072   88.582
177.082   88.790
177.092   89.131
177.101   89.466
177.111   89.825
177.121   90.013
177.131   90.176
177.140   90.443
177.150   90.782
177.160   91.165
177.169   91.539
177.179   91.952
177.189   92.245
177.199   92.541
177.208   93.030
177.218   93.343
177.228   93.622
177.237   94.222
177.247   94.525
177.257   94.873
177.267   95.217
177.276   95.650
177.286   96.021
177.296   96.470
177.306   96.887
177.315   97.367
177.325   97.691
177.335   98.156
177.344   98.366
177.354   98.934
177.364   99.342
177.374   99.708
177.383   100.199
177.393   100.747
177.403   101.070
177.412   101.580
177.422   101.985
177.432   102.446
177.442   102.896
177.451   103.294
177.461   103.733
177.471   104.225
177.481   104.639
177.490   105.039
177.500   105.554
177.510   105.966
177.519   106.504
177.529   106.868
177.539   107.399
177.549   107.796
177.558   108.334
177.568   108.855
177.578   109.223
177.588   109.736
177.597   110.189
177.607   110.588
177.617   111.096
177.626   111.529
177.636   111.963
177.646   112.631
177.656   112.955
177.665   113.372
177.675   113.890
177.685   114.297
177.694   114.760
177.704   115.267
177.714   115.815
177.724   116.264
177.733   116.773
177.743   117.139
177.753   117.685
177.763   118.088
177.772   118.624
177.782   118.996
177.792   119.529
177.801   120.003
177.811   120.551
177.821   120.969
177.831   121.426
177.840   121.860
177.850   122.261
177.860   122.768
177.870   123.160
177.879   123.740
177.889   124.072
177.899   124.619
177.908   125.006
177.918   125.513
177.928   125.937
177.938   126.397
177.947   126.763
177.957   127.270
177.967   127.646
177.976   128.205
177.986   128.545
177.996   129.060
178.006   129.376
178.015   129.802
178.025   130.265
178.035   130.756
178.045   131.076
178.054   131.554
178.064   131.881
178.074   132.413
178.083   132.737
178.093   133.185
178.103   133.641
178.113   134.033
178.122   134.392
178.132   134.684
178.142   135.222
178.151   135.629
178.161   135.971
178.171   136.438
178.181   136.686
178.190   137.110
178.200   137.634
178.210   137.954
178.220   138.318
178.229   138.694
178.239   139.038
178.249   139.440
178.258   139.746
178.268   140.108
178.278   140.447
178.288   140.908
178.297   141.183
178.307   141.597
178.317   141.937
178.327   142.271
178.336   142.632
178.346   142.905
178.356   143.275
178.365   143.690
178.375   143.952
178.385   144.299
178.395   144.574
178.404   145.016
178.414   145.265
178.424   145.625
178.433   146.068
178.443   146.350
178.453   146.678
178.463   146.847
178.472   147.216
178.482   147.469
178.492   147.793
178.502   148.164
178.511   148.434
178.521   148.680
178.531   148.943
178.540   149.351
178.550   149.587
178.560   149.772
178.570   150.215
178.579   150.439
178.589   150.598
178.599   150.994
178.608   151.251
178.618   151.574
178.628   151.751
178.638   152.044
178.647   152.274
178.657   152.479
178.667   152.857
178.677   153.017
178.686   153.308
178.696   153.400
178.706   153.728
178.715   153.948
178.725   154.139
178.735   154.409
178.745   154.551
178.754   154.825
178.764   155.006
178.774   155.217
178.784   155.466
178.793   155.667
178.803   155.912
178.813   156.009
178.822   156.114
178.832   156.426
178.842   156.615
178.852   156.720
178.861   156.874
178.871   157.104
178.881   157.161
178.890   157.429
178.900   157.526
178.910   157.720
178.920   157.790
178.929   157.950
178.939   158.134
178.949   158.280
178.959   158.397
178.968   158.548
178.978   158.703
178.988   158.736
178.997   158.944
179.007   158.998
179.017   159.154
179.027   159.278
179.036   159.442
179.046   159.439
179.056   159.563
179.065   159.754
179.075   159.802
179.085   159.931
179.095   160.015
179.104   160.146
179.114   160.184
179.124   160.315
179.134   160.362
179.143   160.468
179.153   160.609
179.163   160.668
179.172   160.714
179.182   160.835
179.192   160.928
179.202   161.068
179.211   161.163
179.221   161.219
179.231   161.292
179.241   161.397
179.250   161.503
179.260   161.586
179.270   161.680
179.279   161.811
179.289   161.906
179.299   161.929
179.309   162.068
179.318   162.160
179.328   162.356
179.338   162.441
179.347   162.507
179.357   162.692
179.367   162.698
179.377   162.888
179.386   162.959
179.396   163.126
179.406   163.238
179.416   163.337
179.425   163.486
179.435   163.596
179.445   163.809
179.454   163.958
179.464   164.074
179.474   164.264
179.484   164.414
179.493   164.639
179.503   164.783
179.513   165.012
179.522   165.203
179.532   165.438
179.542   165.651
179.552   165.873
179.561   166.127
179.571   166.347
179.581   166.609
179.591   166.920
179.600   167.238
179.610   167.534
179.620   167.759
179.629   168.185
179.639   168.470
179.649   168.875
179.659   169.248
179.668   169.625
179.678   170.062
179.688   170.479
179.698   170.917
179.707   171.441
179.717   171.900
179.727   172.432
179.736   172.951
179.746   173.592
179.756   174.189
179.766   174.790
179.775   175.441
179.785   176.193
179.795   176.886
179.804   177.705
179.814   178.510
179.824   179.388
179.834   -179.810
179.843   -178.809
179.853   -177.832
179.863   -176.740
179.873   -175.609
179.882   -174.394
179.892   -173.152
179.902   -171.798
179.911   -170.370
179.921   -168.876
179.931   -167.254
179.941   -165.581
179.950   -163.817
179.960   -161.919
179.970   -159.920
179.979   -157.793
179.989   -155.567
179.999   -153.209
180.009   -150.721
180.018   -148.107
180.028   -145.360
180.038   -142.472
180.048   -139.450
180.057   -136.299
180.067   -133.048
180.077   -129.667
180.086   -126.192
180.096   -122.632
180.106   -119.017
180.116   -115.372
180.125   -111.698
180.135   -108.019
180.145   -104.414
180.155   -100.838
180.164   -97.366
180.174   -93.988
180.184   -90.744
180.193   -87.692
180.203   -84.725
180.213   -81.915
180.223   -79.246
180.232   -76.773
180.242   -74.429
180.252   -72.207
180.261   -70.159
180.271   -68.204
180.281   -66.378
180.291   -64.634
180.300   -63.048
180.310   -61.492
180.320   -60.043
180.330   -58.690
180.339   -57.367
180.349   -56.138
180.359   -54.991
180.368   -53.897
180.378   -52.832
180.388   -51.801
180.398   -50.862
180.407   -49.968
180.417   -49.069
180.427   -48.247
180.437   -47.458
180.446   -46.673
180.456   -45.935
180.466   -45.230
180.475   -44.541
180.485   -43.860
180.495   -43.314
180.505   -42.653
180.514   -42.103
180.524   -41.547
180.534   -41.044
180.543   -40.540
180.553   -40.092
180.563   -39.590
180.573   -39.130
180.582   -38.672
180.592   -38.276
180.602   -37.918
180.612   -37.552
180.621   -37.254
180.631   -36.807
180.641   -36.530
180.650   -36.215
180.660   -35.956
180.670   -35.666
180.680   -35.389
180.689   -35.108
180.699   -34.889
180.709   -34.738
180.718   -34.534
180.728   -34.315
180.738   -34.199
180.748   -34.054
180.757   -33.774
180.767   -33.675
180.777   -33.679
180.787   -33.509
180.796   -33.357
180.806   -33.273
180.816   -33.194
180.825   -33.098
180.835   -33.123
180.845   -33.011
180.855   -32.991
180.864   -33.007
180.874   -33.033
180.884   -32.909
180.894   -32.877
180.903   -32.971
180.913   -32.930
180.923   -32.912
180.932   -32.973
180.942   -33.098
180.952   -33.019
180.962   -33.117
180.971   -33.031
180.981   -33.129
180.991   -33.138
181.000   -33.158
181.010   -33.181
181.020   -33.292
181.030   -33.187
181.039   -33.269
181.049   -33.346
181.059   -33.394
181.069   -33.286
181.078   -33.201
181.088   -33.286
181.098   -33.244
181.107   -33.167
181.117   -33.138
181.127   -33.212
181.137   -33.026
181.146   -32.957
181.156   -32.756
181.166   -32.840
181.175   -32.608
181.185   -32.608
181.195   -32.442
181.205   -32.184
181.214   -32.090
181.224   -31.888
181.234   -31.752
181.244   -31.581
181.253   -31.266
181.263   -31.094
181.273   -30.760
181.282   -30.563
181.292   -30.248
181.302   -29.937
181.312   -29.618
181.321   -29.299
181.331   -29.067
181.341   -28.763
181.351   -28.295
181.360   -27.886
181.370   -27.551
181.380   -27.236
181.389   -26.738
181.399   -26.596
181.409   -25.965
181.419   -25.547
181.428   -25.404
181.438   -24.874
181.448   -24.370
181.457   -23.978
181.467   -23.404
181.477   -23.096
181.487   -22.576
181.496   -22.126
181.506   -21.619
181.516   -21.184
181.526   -20.581
181.535   -20.061
181.545   -19.700
181.555   -19.078
181.564   -18.691
181.574   -18.293
181.584   -17.679
181.594   -17.253
181.603   -16.782
181.613   -16.205
181.623   -15.727
181.632   -15.286
181.642   -14.765
181.652   -14.405
181.662   -13.834
181.671   -13.349
181.681   -12.784
181.691   -12.429
181.701   -11.817
181.710   -11.248
181.720   -10.940
181.730   -10.356
181.739   -10.111
181.749   -9.425
181.759   -9.002
181.769   -8.431
181.778   -8.069
181.788   -7.589
181.798   -7.263
181.808   -6.639
181.817   -6.249
181.827   -5.813
181.837   -5.357
181.846   -4.838
181.856   -4.543
181.866   -4.050
181.876   -3.448
181.885   -3.268
181.895   -2.507
181.905   -2.140
181.914   -1.855
181.924   -1.512
181.934   -1.015
181.944   -0.574
181.953   -0.110
181.963   0.010
181.973   0.037
181.983   0.475
181.992   0.831
182.002   1.413
182.012   1.640
182.021   2.036
182.031   2.295
182.041   2.787
182.051   3.201
182.060   3.477
182.070   3.904
182.080   4.335
182.089   4.557
182.099   5.027
182.109   5.181
182.119   5.607
182.128   6.210
182.138   6.472
182.148   6.603
182.158   6.781
182.167   7.385
182.177   7.722
182.187   7.918
182.196   8.297
182.206   8.531
182.216   8.731
182.226   9.095
182.235   9.409
182.245   9.866
182.255   10.200
182.265   10.479
182.274   10.920
182.284   11.027
182.294   11.415
182.303   11.627
182.313   11.907
182.323   12.568
182.333   12.655
182.342   12.700
182.352   12.935
182.362   13.373
182.371   13.583
182.381   13.821
182.391   14.242
182.401   14.186
182.410   14.793
182.420   14.802
182.430   14.939
182.440   15.103
182.449   15.339
182.459   15.886
182.469   15.950
182.478   16.287
182.488   16.550
182.498   16.883
182.508   17.221
182.517   17.233
182.527   17.490
182.537   17.519
182.546   17.757
182.556   18.150
182.566   18.134
182.576   18.593
182.585   18.933
182.595   18.878
182.605   18.627
182.615   19.266
182.624   19.525
182.634   19.652
182.644   20.156
182.653   20.247
182.663   20.217
182.673   20.210
182.683   20.622
182.692   20.457
182.702   20.690
182.712   20.783
182.722   20.949
182.731   21.624
182.741   21.653
182.751   21.670
182.760   21.739
182.770   22.276
182.780   21.892
182.790   22.214
182.799   22.043
182.809   22.627
182.819   23.213
182.828   22.839
182.838   22.835
182.848   22.930
182.858   23.117
182.867   22.701
182.877   23.257
182.887   23.502
182.897   23.577
182.906   23.389
182.916   23.848
182.926   23.746
182.935   24.057
182.945   24.349
182.955   24.263
182.965   24.486
182.974   24.439
182.984   24.311
182.994   23.836
183.004   24.460
183.013   24.556
183.023   25.046
183.033   24.532
183.042   23.916
183.052   24.599
183.062   24.125
183.072   24.917
183.081   24.370
183.091   24.943
183.101   24.610
183.110   24.316
183.120   24.520
183.130   24.878
183.140   24.465
183.149   25.475
183.159   24.252
183.169   24.303
183.179   24.079
183.188   24.887
183.198   24.184
183.208   24.240
183.217   24.309
183.227   24.056
183.237   24.884
183.247   24.205
183.256   24.091
183.266   24.278
183.276   24.140
183.285   23.796
183.295   23.136
183.305   23.766
183.315   24.044
183.324   23.551
183.334   23.293
183.344   23.246
183.354   22.726
183.363   22.511
183.373   22.336
183.383   22.199
183.392   22.112
183.402   22.126
183.412   22.021
183.422   21.336
183.431   21.301
183.441   20.910
183.451   21.175
183.461   20.401
183.470   21.164
183.480   20.858
183.490   20.881
183.499   20.208
183.509   19.976
183.519   19.190
183.529   19.135
183.538   18.921
183.548   17.839
183.558   18.851
183.567   17.936
183.577   18.368
183.587   17.892
183.597   17.180
183.606   17.074
183.616   17.190
183.626   17.225
183.636   16.901
183.645   15.526
183.655   14.758
183.665   15.078
183.674   15.398
183.684   14.836
183.694   14.324
183.704   14.780
183.713   14.040
183.723   13.352
183.733   13.624
183.742   13.291
183.752   12.736
183.762   12.389
183.772   12.391
183.781   12.599
183.791   12.029
183.801   12.169
183.811   12.399
183.820   10.806
183.830   10.594
183.840   11.973
183.849   11.137
183.859   10.608
183.869   9.917
183.879   11.111
183.888   10.425
183.898   10.974
183.908   9.981
183.918   10.005
183.927   10.242
183.937   10.197
183.947   9.799
183.956   10.217
183.966   10.256
183.976   10.125
183.986   10.147
183.995   10.209
184.005   9.917
184.015   10.426
184.024   10.317
184.034   10.197
184.044   10.040
184.054   10.465
184.063   10.835
184.073   11.569
184.083   11.436
184.093   10.528
184.102   12.030
184.112   10.583
184.122   11.002
184.131   12.020
184.141   12.297
184.151   12.556
184.161   12.643
184.170   12.569
184.180   13.219
184.190   14.112
184.199   13.552
184.209   14.261
184.219   14.133
184.229   14.616
184.238   15.054
184.248   14.777
184.258   14.812
184.268   15.413
184.277   16.091
184.287   16.818
184.297   16.498
184.306   16.829
184.316   16.848
184.326   17.837
184.336   17.142
184.345   17.818
184.355   18.270
184.365   18.639
184.375   18.337
184.384   19.560
184.394   19.119
184.404   19.711
184.413   20.149
184.423   20.021
184.433   19.999
184.443   20.718
184.452   20.852
184.462   20.781
184.472   21.668
184.481   22.629
184.491   22.487
184.501   21.901
184.511   23.003
184.520   23.627
184.530   23.657
184.540   23.876
184.550   23.916
184.559   23.796
184.569   25.352
184.579   24.383
184.588   25.230
184.598   24.633
184.608   24.801
184.618   25.231
184.627   26.834
184.637   26.049
184.647   26.758
184.656   26.721
184.666   26.052
184.676   26.991
184.686   27.361
184.695   27.737
184.705   26.820
184.715   27.714
184.725   27.401
184.734   28.689
184.744   28.549
184.754   28.203
184.763   28.021
184.773   27.909
184.783   29.352
184.793   29.173
184.802   30.039
184.812   29.204
184.822   29.277
184.832   30.300
184.841   29.262
184.851   30.090
184.861   29.609
184.870   30.651
184.880   30.838
184.890   31.295
184.900   31.113
184.909   31.520
184.919   31.320
184.929   29.539
184.938   31.658
184.948   31.596
184.958   31.104
184.968   31.205
184.977   31.372
184.987   32.032
184.997   31.544
185.007   32.985
185.016   32.554
185.026   31.737
185.036   31.866
185.045   33.618
185.055   32.032
185.065   32.490
185.075   32.379
185.084   32.869
185.094   33.280
185.104   34.102
185.113   33.057
185.123   32.883
185.133   33.972
185.143   33.084
185.152   33.152
185.162   34.145
185.172   34.694
185.182   32.853
185.191   33.749
185.201   33.808
185.211   35.148
185.220   34.541
185.230   33.472
185.240   34.084
185.250   35.426
185.259   34.229
185.269   34.961
185.279   34.674
185.289   34.857
185.298   35.326



