Misura apertura numerica
Angolo [°]	dAngolo [°]	Potenza [\mu W]		dPotenza[\muW]
65	1	33e-9		5e-9
64	1	100e-9		5e-9
63	1	245e-9		5e-9
62	1	380e-9		5e-9
61	1	572e-9		3e-9
60	1	825e-9		5e-9
58	1	1380e-9		10e-9
56	1	2115e-9		5e-9
54	1	2.85e-6		0.03e-6
52	1	3.53e-6		0.02e-6
50	1	4.95e-6		0.03e-6
48	1	5.97e-6		0.05e-6
46	1	7.50e-6		0.05e-6
45	1	8.36e-6		0.05e-6
44	1	8.8e-6		0.1e-6
43	1	9.12e-6		0.05e-6
42	1	8.70e-6		0.05e-6
40	1	6.87e-6		0.03e-6
38	1	5.50e-6		0.05e-6
36	1	4.63e-6		0.03e-6
34	1	3.49e-6		0.03e-6
32	1	2.40e-6		0.02e-6
30	1	1.76e-6		0.01e-6
28	1	1.11e-6		0.05e-6
27	1	0.821e-6	0.0005e-6
26	1	655e-9		5e-9
25	1	440e-9		5e-9
24	1	313e-9		2e-9
23	1	155e-9		3e-9

