Apertura numerica fibra
angolo[°]	dangolo[°]	potenza[W]		dpotenza[]
60	1	230e-9		3e-9
59	1	375e-9		5e-9
58	1	547e-9		3e-9
57	1	795e-9		5e-9
56	1	1025e-9		5e-9
55	1	1.225e-6	0.005e-6
53	1	2.08e-6		0.01e-6
51	1	3.55e-6		0.02e-6
49	1	5.47e-6		0.03e-6
47	1	7.35e-6		0.03e-6
45	1	8.57e-6		0.05e-6
44	1	9.47e-6		0.05e-6
43	1	9.80e-6		0.05e-6
42	1	9.25e-6		0.05e-6
41	1	8.10e-6		0.03e-6
39	1	6.0e-6		0.03e-6
37	1	4.17e-6		0.03e-6
35	1	2.75e-6		0.05e-6
33	1	1710e-9		4e-9
31	1	1030e-9		10e-9
30	1	858e-9		3e-9
29	1	551e-9		3e-9
28	1	433e-9		5e-9
27	1	255e-9		5e-9
26	1	150e-9		2e-9
	
