Misura potenza angolare fibra singolo modo
g [°]	dg[°]	P[W]	dP[W]
50	1	5.0e-9	0.1e-9
49	1	14.7e-9	0.1e-9
48	1	29.3e-9	0.2e-9
47	1	60.5e-9	0.5e-9
46	1	85.5e-9	0.3e-9
#45.5	1	100.9e-9	0.2e-9
45	1	141.7e-9	0.5e-9
#44.5	1	164.4e-9	0.5e-9
44	1	0.217e-6	0.002e-6
#43.5	1	0.242e-6	0.001e-6
43	1	0.306e-6	0.002e-6
#42.5	1	0.307e-6	0.003e-6
42	1	0.370e-6	0.002e-6
41	1	0.373e-6	0.001e-6
#40.5	1	0.319e-6	0.001e-6
40	1	0.317e-6	0.002e-6
#39.5	1	0.248e-6	0.002e-6
39	1	0.238e-6	0.001e-6
#38.5	1	157.7e-9	0.5e-9
38	1	152e-9	1e-9
#37.5	1	94.5e-9	0.2e-9
37	1	87e-9	1e-9
36	1	53.5e-9	0.5e-9
35	1	27.5e-9	0.2e-9
34	1	13.2e-9	0.1e-9
33	1	4.9e-9	0.1e-9
32	1	1.9e-9	0.1e-9
