#Angolo(-270)[°]	I[muA]	dI
322	0.02	0.01
321	0.03	0.01
320	0.05	0.01
319	0.05	0.01
318	0.06	0.01
317	0.05	0.01
316	0.06	0.01
315	0.06	0.01
314	0.06	0.01
313	0.06	0.01
312	0.07	0.01
311	0.06	0.01
310	0.09	0.01
309	0.09	0.01
308	0.09	0.01
307	0.11	0.01
306	0.13	0.01
305	0.14	0.01
304	0.15	0.01
303	0.18	0.01
302	0.18	0.01
301	0.20	0.01
300	0.25	0.01
299	0.29	0.01
298	0.31	0.01
297	0.35	0.01
296	0.36	0.01
295	0.42	0.01
294	0.51	0.01
293	0.55	0.01
292	0.59	0.01
291	0.68	0.01
290	0.74	0.01
289	0.83	0.01
288	0.89	0.01
287	0.97	0.01
286	1.11	0.01
285	1.22	0.01
284	1.30	0.01
283	1.46	0.01
282	1.56	0.01
281	1.65	0.01
280	1.74	0.01
279	1.85	0.01
278	1.94	0.01
277	2.01	0.01
276	2.11	0.01
275	2.17	0.01	
274	2.19	0.01
273	2.20	0.01
272	2.20	0.01
271	2.26	0.01
270	2.23	0.01
269	2.13	0.01
268	2.12	0.01
267	2.10	0.01
266	2.02	0.01
265	1.94	0.01
264	1.86	0.01
263	1.77	0.01
262	1.64	0.01
261	1.51	0.01
260	1.39	0.01
259	1.23	0.01
258	1.12	0.01
257	1.11	0.01
256	1.05	0.01
255	0.89	0.01
254	0.78	0.01
253	0.69	0.01
252	0.64	0.01
251	0.58	0.01
250	0.52	0.01
249	0.47	0.01
248	0.42	0.01
247	0.36	0.01
246	0.33	0.01
245	0.29	0.01
244	0.28	0.01
243	0.24	0.01
242	0.21	0.01
241	0.20	0.01
240	0.18	0.01
239	0.17	0.01
238	0.16	0.01
237	0.15	0.01
236	0.13	0.01
235	0.12	0.01
234	0.11	0.01
233	0.10	0.01
232	0.09	0.01
231	0.09	0.01
230	0.08	0.01
229	0.08	0.01
228	0.08	0.01
227	0.07	0.01
226	0.07	0.01
225	0.05	0.01
224	0.03	0.01
223	0.02	0.01
