#Angolo(-270)[°]	I[muA]	dI
286	0.03	0.01
285	0.03	0.01
284	0.04	0.01
283	0.06	0.01
282	0.09	0.01
281	0.14	0.01
280	0.23	0.01
279	0.37	0.01
278	0.56	0.01
277	0.71	0.01
276	0.99	0.01
275	1.33	0.01
274	1.56	0.01
273	1.89	0.01
272	2.14	0.01
271	2.31	0.01
270	2.40	0.01
269	2.32	0.01
268	2.18	0.01
267	1.91	0.01
266	1.65	0.01
265	1.34	0.01
264	1.04	0.01
263	0.76	0.01
262	0.52	0.01
261	0.38	0.01
260	0.23	0.01
259	0.15	0.01
258	0.09	0.01
257	0.07	0.01
256	0.05	0.01
255	0.04	0.01
254	0.03	0.01
253	0.03	0.01


