## IW a temperatura T = 13°
## Corrente[mA]	Potenza[mW]	dW[mW]
27.2	10.83e-3	0.01e-3
29.1	12.13e-3	0.01e-3
31.1	13.67e-3	0.01e-3
33.0	15.29e-3	0.01e-3
35.0	17.11e-3	0.01e-3
36.4	18.49e-3	0.01e-3
38.6	20.99e-3	0.01e-3
39.8	22.44e-3	0.01e-3
41.4	24.71e-3	0.01e-3
42.4	26.13e-3	0.01e-3
43.5	27.9e-3	0.1e-3
44.3	29.4e-3	0.1e-3
45.8	32.5e-3	0.1e-3
46.8	34.7e-3	0.1e-3
47.5	36.4e-3	0.1e-3
48.1	38.3e-3	0.1e-3
49.1	41.3e-3	0.1e-3
50.5	47.0e-3	0.1e-3
51.4	52.2e-3	0.1e-3
52.5	60.6e-3	0.1e-3
51.9	55.5e-3	0.1e-3
53.5	72.5e-3	0.1e-3
53.9	79.1e-3	0.1e-3
54.6	99.6e-3	0.1e-3
54.9	117.7e-3	0.1e-3
56.0	253.8e-3	0.1e-3
57.0	0.451	0.001
58.3	0.714	0.001
59.0	0.849	0.001
60.3	1.134	0.001
61.4	1.353	0.001
62.5	1.567	0.001
63.3	1.742	0.001
64.5	1.990	0.001
65.7	2.240	0.001
66.8	2.441	0.001
67.8	2.648	0.001
69.2	2.953	0.001
70.4	3.19	0.01
71.5	3.42	0.01
73.0	3.70	0.01
74.8	4.07	0.01
76.3	4.40	0.01
77.8	4.70	0.01
80.5	5.28	0.01

