#IW T = 43-44°
# I[mA]	P[mW]	dP[mW]
24.8	8.02e-3	0.01e-3
26.0	8.61e-3	0.01e-3
27.0	9.14e-3	0.01e-3
28.6	10.01e-3	0.01e-3
30.0	10.82e-3	0.01e-3
31.7	11.88e-3	0.01e-3
33.1	12.82e-3	0.01e-3
34.9	14.06e-3	0.01e-3
36.5	15.20e-3	0.01e-3
38.0	16.38e-3	0.01e-3
38.5	17.55e-3	0.01e-3
41.1	18.97e-3	0.01e-3
42.4	20.14e-3	0.01e-3
43.8	21.56e-3	0.01e-3
45.0	22.79e-3	0.01e-3
46.6	24.60e-3	0.01e-3
48.0	26.22e-3	0.01e-3
49.5	28.2e-3	0.1e-3
50.8	30.1e-3	0.1e-3
51.9	31.8e-3	0.1e-3
52.8	33.3e-3	0.1e-3
54.0	35.4e-3	0.1e-3
55.0	37.4e-3	0.1e-3
56.1	39.9e-3	0.1e-3
57.1	42.3e-3	0.1e-3
58.4	46.1e-3	0.1e-3
59.6	50.0e-3	0.1e-3
60.6	54.0e-3	0.1e-3
61.5	59.0e-3	0.1e-3
62.7	66.8e-3	0.1e-3
63.5	74.1e-3	0.1e-3
64.4	86.2e-3	0.1e-3
65.0	99.1e-3	0.1e-3
65.6	118.8e-3	0.1e-3
66.0	135.6e-3	0.1e-3
66.4	172.2e-3	0.1e-3
67.0	249.4e-3	0.1e-3
67.4	0.321	0.001
68.1	0.440	0.001
68.8	0.584	0.001
69.9	0.796	0.001
70.8	0.959	0.001
71.9	1.187	0.001
72.8	1.364	0.001
73.8	1.555	0.001
74.7	1.733	0.001
76.2	2.031	0.001
77.6	2.304	0.001
79.3	2.626	0.001
81.0	2.949	0.001




