##Curva Potenza-Corrente
##Corrente[mA]		Potenza[m W]	Incertezza sulla potenza[m W]
24.7	8.95e-3	0.01e-3
25.7	9.55e-3	0.01e-3
26.7	10.15e-3	0.01e-3
27.9	10.90e-3	0.01e-3
28.5	11.29e-3	0.01e-3
29.6	12.06e-3	0.01e-3
30.5	12.76e-3	0.01e-3
31.4	13.42e-3	0.01e-3
32.7	14.40e-3	0.01e-3
33.6	15.20e-3	0.01e-3
34.8	16.21e-3	0.01e-3
35.9	17.24e-3	0.01e-3
37.0	18.34e-3	0.01e-3
38.1	19.55e-3	0.01e-3
39.1	20.61e-3	0.01e-3
40.1	21.55e-3	0.01e-3
41.2	23.22e-3	0.01e-3
42.5	24.89e-3	0.01e-3
43.4	26.30e-3	0.01e-3
44.8	28.47e-3	0.01e-3
45.6	29.95e-3	0.01e-3
47.0	32.7e-3	0.1e-3
47.9	34.8e-3	0.1e-3
49.0	37.6e-3	0.1e-3
50.3	41.5e-3	0.1e-3
52.0	48.2e-3	0.1e-3
53.4	56.7e-3	0.1e-3
54.5	66.5e-3	0.1e-3
55.5	85.0e-3	0.1e-3
56.9	162.8e-3	0.2e-3
57.4	227.3e-3	0.2e-3
58.5	0.430		0.001
59.6	0.670		0.001
60.6	0.871		0.001
61.4	1.027		0.001
62.4	1.247		0.001
63.5	1.478		0.001
64.7	1.719		0.001
67.0	2.172		0.002
69.8	2.752		0.002
72.8	3.37		0.01
75.1	3.85		0.01
77.1	4.25		0.01
80.5	4.91		0.01
